points,number,class,ill
7,13697,10EV1,false
6,13661,10EV1,false
0,13638,10EV1,true
9,13668,10EV1,false
4,13627,10EV1,false
0,13667,10EV1,true
6,13695,10EV1,false
10,13677,10EV1,false
0,13660,10EV1,true
6,13617,10EV1,false
10,13628,10EV1,false
0,13634,10EV1,true
7,13686,10EV1,false
6,13687,10EV1,false
0,13645,10EV1,true
6,13625,10EV1,false
9,13679,10EV1,false
0,13611,10EV1,true
0,69551,12EV1,false
0,69570,12EV1,false
0,69597,12EV1,false
0,69520,12EV1,false
0,69591,12EV1,false
0,69561,12EV1,false
0,69592,12EV1,false
0,69515,12EV1,false
0,69529,12EV1,false
0,79621,10KI1,false
8,79676,10KI1,false
7,79613,10KI1,false
4,79635,10KI1,false
0,79640,10KI1,false
7,79644,10KI1,false
0,79652,10KI1,false
10,79637,10KI1,false
0,79691,10KI1,true
9,79610,10KI1,false
7,79685,10KI1,false
0,79675,10KI1,true
9,79654,10KI1,false
11,79611,10KI1,false
0,79699,10KI1,true
3,19876,10KI2,false
9,19889,10KI2,false
14,19846,10KI2,false
13,19816,10KI2,false
0,19831,10KI2,false
16,19892,10KI2,false
12,19865,10KI2,false
9,19875,10KI2,false
14,19867,10KI2,false
9,19823,10KI2,false
4,19896,10KI2,false
0,19854,10KI2,false
9,19868,10KI2,false
12,19852,10KI2,false
0,19827,10KI2,true
0,19842,10KI2,false
0,60522,11KI1,false
0,60540,11KI1,false
0,60592,11KI1,true
0,60513,11KI1,true
0,60548,11KI1,true
0,60514,11KI1,true
0,60569,11KI1,true
0,60567,11KI1,true
0,60542,11KI1,true
0,60544,11KI1,true
12,60532,11KI1,false
0,60559,11KI1,true
0,60535,11KI1,true
12,60573,11KI1,false
0,60599,11KI1,false
0,32122,11KI2,true
0,32139,11KI2,true
6,32177,11KI2,false
12,32124,11KI2,false
0,32115,11KI2,true
7,32199,11KI2,false
16,32113,11KI2,false
0,32161,11KI2,true
6,32159,11KI2,false
5,32181,11KI2,false
0,32126,11KI2,true
7,32138,11KI2,false
0,32147,11KI2,true
0,32128,11KI2,true
0,32168,11KI2,true
0,10135,11KITZ,false
0,10172,11KITZ,false
0,10177,11KITZ,false
0,10121,11KITZ,false
0,10138,11KITZ,false
0,10147,11KITZ,false
0,10159,11KITZ,false
0,10165,11KITZ,false
0,10123,11KITZ,false
0,10163,11KITZ,false
0,10146,11KITZ,false
1,34035,11SO1,false
14,34087,11SO1,false
7,34088,11SO1,false
7,34015,11SO1,false
10,34059,11SO1,false
8,34062,11SO1,false
0,34056,11SO1,false
0,34096,11SO1,false
7,34013,11SO1,false
0,34083,11SO1,false
0,34051,11SO1,false
0,34027,11SO1,false
8,34055,11SO1,false
0,34068,11SO1,false
0,34063,11SO1,true
8,34041,11SO1,false
11,34066,11SO1,false
0,34091,11SO1,true
7,34069,11SO1,false
0,87820,13FA1,false
2,87851,13FA1,false
0,87849,13FA1,false
2,87825,13FA1,false
2,87845,13FA1,false
2,87827,13FA1,false
0,87893,13FA1,false
0,87881,13FA1,false
2,87889,13FA1,false
0,87865,13FA1,false
0,87896,13FA1,false
4,87835,13FA1,false
4,87871,13FA1,false
2,87892,13FA1,false
0,87861,13FA1,false
0,88385,14FA1,false
0,88375,14FA1,false
0,88317,14FA1,false
0,88366,14FA1,false
0,88331,14FA1,false
0,88374,14FA1,false
0,88379,14FA1,false
0,88345,14FA1,false
0,88394,14FA1,false
0,88355,14FA1,false
2,98370,10EH3,false
0,98382,10EH3,false
7,98385,10EH3,false
0,98344,10EH3,false
4,98371,10EH3,false
2,98338,10EH3,false
0,98329,10EH3,false
6,98345,10EH3,false
7,98365,10EH3,false
16,98363,10EH3,false
6,98343,10EH3,false
0,98379,10EH3,false
7,98341,10EH3,false
6,98339,10EH3,false
9,98388,10EH3,false
16,98353,10EH3,false
4,98390,10EH3,false
9,98399,10EH3,false
16,98347,10EH3,false
0,98373,10EH3,false
2,98335,10EH3,false
0,66872,10EH4,false
12,66854,10EH4,false
3,66855,10EH4,false
0,66817,10EH4,true
1,66838,10EH4,false
6,66860,10EH4,false
0,66869,10EH4,true
7,66892,10EH4,false
14,66810,10EH4,false
11,66874,10EH4,false
7,66820,10EH4,false
4,66853,10EH4,false
4,66884,10EH4,false
4,66816,10EH4,false
4,66813,10EH4,false
0,66836,10EH4,false
4,66857,10EH4,false
6,66865,10EH4,false
5,66881,10EH4,false
14,66893,10EH4,false
19,66826,10EH4,false
0,66832,10EH4,false
14,66823,10EH4,false
0,66879,10EH4,true
14,66871,10EH4,false
7,99347,11EH1,false
7,99311,11EH1,false
0,99333,11EH1,false
0,99342,11EH1,false
2,99326,11EH1,false
0,99349,11EH1,false
5,99321,11EH1,false
0,99370,11EH1,false
0,99364,11EH1,false
5,99310,11EH1,false
4,99379,11EH1,false
0,99315,11EH1,false
0,99365,11EH1,false
4,99328,11EH1,false
0,99319,11EH1,false
0,99396,11EH1,false
0,99323,11EH1,false
0,99369,11EH1,false
2,99316,11EH1,false
0,99338,11EH1,false
0,99331,11EH1,false
7,99345,11EH1,false
0,99372,11EH1,false
0,99353,11EH1,false
8,27785,10BM3,false
4,27763,10BM3,false
9,27791,10BM3,false
8,27760,10BM3,false
19,27789,10BM3,false
8,27790,10BM3,false
6,27731,10BM3,false
17,27771,10BM3,false
10,27798,10BM3,false
12,27767,10BM3,false
12,27752,10BM3,false
10,27775,10BM3,false
9,27777,10BM3,false
25,27750,10BM3,false
7,27749,10BM3,false
12,27743,10BM3,false
10,27774,10BM3,false
0,27713,10BM3,true
10,27755,10BM3,false
12,27754,10BM3,false
7,27784,10BM3,false
4,27719,10BM3,false
9,27733,10BM3,false
8,27762,10BM3,false
3,27748,10BM3,false
8,27751,10BM3,false
15,44436,10BM6,false
0,44427,10BM6,true
8,44489,10BM6,false
7,44498,10BM6,false
0,44472,10BM6,true
6,44466,10BM6,false
4,44474,10BM6,false
0,44455,10BM6,true
6,44470,10BM6,false
4,44453,10BM6,false
0,44430,10BM6,true
12,44414,10BM6,false
8,44413,10BM6,false
9,44482,10BM6,false
6,44421,10BM6,false
8,44437,10BM6,false
8,44428,10BM6,false
6,44442,10BM6,false
9,44446,10BM6,false
8,44467,10BM6,false
8,44499,10BM6,false
15,44468,10BM6,false
12,44475,10BM6,false
7,44420,10BM6,false
8,44417,10BM6,false
9,16888,11BM2,false
1,16838,11BM2,false
1,16836,11BM2,false
9,16851,11BM2,false
1,16863,11BM2,false
1,16817,11BM2,false
9,16825,11BM2,false
3,16844,11BM2,false
0,16879,11BM2,false
9,16853,11BM2,false
3,16891,11BM2,false
0,16899,11BM2,false
5,16824,11BM2,false
3,16875,11BM2,false
0,16868,11BM2,false
5,16870,11BM2,false
19,16834,11BM2,false
0,16862,11BM2,false
5,16895,11BM2,false
16,16898,11BM2,false
1,16852,11BM2,false
5,16873,11BM2,false
19,16816,11BM2,false
1,16856,11BM2,false
1,16850,11BM2,false
16,16815,11BM2,false
0,83086,10IT1,true
2,83023,10IT1,false
2,83077,10IT1,false
4,83055,10IT1,false
0,83060,10IT1,false
5,83072,10IT1,false
2,83049,10IT1,false
2,83047,10IT1,false
3,83012,10IT1,false
2,83058,10IT1,false
1,83057,10IT1,false
0,83014,10IT1,true
2,83021,10IT1,false
2,83059,10IT1,false
